IP | Tempo de Resposta | Classificacao | Faixa Etaria
--------------------------------------------------
192.168.126.11 | 3.91s | Suspeito | <18
192.168.15.93 | 3.35s | Crítico | 31-50
192.168.183.83 | 0.20s | Crítico | 31-50
192.168.2.250 | 1.98s | Crítico | <18
192.168.248.47 | 0.55s | Normal | 51+
192.168.250.167 | 1.85s | Crítico | 51+
192.168.199.49 | 2.40s | Suspeito | 31-50
192.168.184.130 | 3.21s | Suspeito | 31-50
192.168.74.215 | 4.93s | Suspeito | 18-30
192.168.38.228 | 3.98s | Suspeito | 51+
192.168.155.25 | 4.47s | Suspeito | 18-30
192.168.192.161 | 3.10s | Crítico | <18
192.168.135.79 | 0.46s | Crítico | 18-30
192.168.33.153 | 1.87s | Crítico | 31-50
192.168.138.59 | 0.64s | Crítico | <18
192.168.253.217 | 4.66s | Crítico | 18-30
192.168.241.161 | 0.64s | Crítico | 51+
192.168.239.137 | 4.87s | Crítico | 18-30
192.168.146.27 | 4.40s | Suspeito | <18
192.168.169.73 | 4.46s | Crítico | <18
192.168.118.244 | 2.75s | Suspeito | 18-30
192.168.235.122 | 4.35s | Suspeito | <18
192.168.167.188 | 4.26s | Crítico | <18
192.168.171.47 | 4.38s | Crítico | 31-50
192.168.67.72 | 2.85s | Crítico | <18
192.168.117.18 | 3.71s | Crítico | 51+
192.168.51.190 | 2.97s | Suspeito | 18-30
192.168.89.243 | 1.09s | Crítico | <18
192.168.65.30 | 3.24s | Crítico | 51+
192.168.147.125 | 2.45s | Crítico | 31-50
192.168.118.139 | 1.85s | Crítico | 18-30
192.168.38.79 | 4.27s | Crítico | <18
192.168.140.22 | 0.66s | Crítico | 31-50
192.168.61.16 | 3.08s | Crítico | 18-30
192.168.163.124 | 3.41s | Crítico | 51+
192.168.122.252 | 3.48s | Suspeito | <18
192.168.155.90 | 4.60s | Suspeito | <18
192.168.246.235 | 3.50s | Crítico | 51+
192.168.23.104 | 0.59s | Normal | 18-30
192.168.14.121 | 2.73s | Crítico | 31-50
192.168.95.76 | 2.58s | Suspeito | 51+
192.168.22.182 | 2.24s | Suspeito | <18
192.168.42.38 | 3.23s | Crítico | 51+
192.168.34.62 | 2.63s | Crítico | 18-30
192.168.207.158 | 1.14s | Crítico | <18
192.168.51.1 | 3.24s | Suspeito | 18-30
192.168.134.18 | 3.28s | Suspeito | 31-50
192.168.195.56 | 2.90s | Crítico | 51+
192.168.152.242 | 0.34s | Normal | <18
192.168.94.146 | 3.57s | Suspeito | 31-50
192.168.166.91 | 2.52s | Suspeito | 18-30
192.168.39.174 | 0.24s | Normal | 31-50
192.168.139.178 | 0.89s | Normal | 31-50
192.168.43.225 | 0.43s | Normal | 31-50
192.168.254.33 | 4.70s | Suspeito | 31-50
192.168.122.79 | 4.04s | Suspeito | <18
